City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Santa Cruz,BO,78.26,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
8,Senador Pompeu,BR,82.04,few clouds,-5.5881,-39.3717,Pousada Ki-Delicia
9,Majene,ID,80.91,very heavy rain,-3.5403,118.9707,Kost Putri RABBANI
10,Yurimaguas,PE,80.76,heavy intensity rain,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
11,Atuona,PF,78.84,clear sky,-9.8,-139.0333,Villa Enata
14,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
16,Lorengau,PG,86.47,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
20,Sao Filipe,CV,75.29,few clouds,14.8961,-24.4956,Hotel Xaguate
23,Rikitea,PF,76.78,overcast clouds,-23.1203,-134.9692,People ThankYou
29,Kavieng,PG,83.5,light rain,-2.5744,150.7967,Nusa Island Retreat
40,Butaritari,KI,80.98,moderate rain,3.0707,172.7902,Isles Sunset Lodge
44,Geraldton,AU,81.12,clear sky,-28.7667,114.6,Broadwater Mariner Resort
45,Rafaela,AR,75.0,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
48,Bengkulu,ID,78.15,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
51,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
52,Kualakapuas,ID,77.16,overcast clouds,-3.0091,114.3876,Guest House Izonk
54,Cabo San Lucas,MX,78.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
56,Sao Joao Da Barra,BR,75.2,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
57,Nieves,PH,77.94,broken clouds,15.3274,120.9485,Bill's Inn
61,Kulhudhuffushi,MV,81.57,few clouds,6.6221,73.07,Haajy Guest House 1
67,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
69,Emerald,AU,82.35,overcast clouds,-23.5333,148.1667,The Irish Village
84,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
88,Angoche,MZ,75.54,scattered clouds,-16.2325,39.9086,Guest House HESADA
89,Santa Rosa,PH,82.09,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
96,Poum,NC,81.09,clear sky,-20.2333,164.0167,Gîte kajeon
102,Carutapera,BR,78.8,few clouds,-1.195,-46.02,Lidera
108,Culiacan,MX,76.68,broken clouds,24.7994,-107.3897,Ramada by Wyndham Hola Culiacan
109,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
113,Hithadhoo,MV,81.14,overcast clouds,-0.6,73.0833,Scoop Guest House
116,Honiara,SB,82.9,overcast clouds,-9.4333,159.95,Heritage Park Hotel
120,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
123,Amuntai,ID,78.48,overcast clouds,-2.4177,115.2494,Hotel Balqis
134,Suba,PH,81.23,overcast clouds,10.8438,121.0102,Jarnchi Pension House
135,Lazaro Cardenas,MX,77.97,overcast clouds,17.9583,-102.2,quinta antigua
138,Moratuwa,LK,76.73,clear sky,6.773,79.8816,Sa Mansion By Yoho
139,Saint-Philippe,RE,76.55,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
141,Phan Thiet,VN,75.51,broken clouds,10.9333,108.1,Hotel Saigon-PT
144,Jardim,BR,76.73,few clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
146,Ikot Ekpene,NG,76.44,overcast clouds,5.1794,7.7108,Four Points by Sheraton Ikot Ekpene
147,Sinnamary,GF,76.84,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
148,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
151,Cayenne,GF,78.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
156,Fare,PF,81.25,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
159,Pitimbu,BR,81.19,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
161,Bima,ID,77.65,overcast clouds,-8.4667,118.7167,Lambitu Hotel
165,Yeppoon,AU,82.18,broken clouds,-23.1333,150.7333,Villa Mar Colina
168,Luanda,AO,76.42,moderate rain,-8.8368,13.2343,Hotel Fórum
169,Cururupu,BR,76.98,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
172,Sabang,ID,81.41,broken clouds,5.8933,95.3214,Hotel Citra
180,Ewa Beach,US,76.95,light rain,21.3156,-158.0072,Uncle Junior Robert
182,Lamu,KE,80.82,light rain,-2.2717,40.902,Lamu House
184,Grand Gaube,MU,77.4,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
185,Muncar,ID,77.0,moderate rain,-8.4333,114.3333,Zaky Homestay
191,Wad Madani,SD,76.59,clear sky,14.4012,33.5199,فندق يوغسلافيا
193,Ahipara,NZ,75.25,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
195,Broken Hill,AU,78.51,broken clouds,-31.95,141.4333,Royal Exchange Hotel
209,Vila Velha,BR,76.95,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
212,Labuhan,ID,80.04,moderate rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
217,Tecoanapa,MX,79.47,clear sky,16.5167,-98.75,Hotel Manglares
220,Maues,BR,76.53,few clouds,-3.3836,-57.7186,Hotel Miramar
222,Ayame,CI,75.79,scattered clouds,5.6083,-3.1563,Hotel Bossan
224,Galesong,ID,75.22,moderate rain,-5.3166,119.3661,Sapriadi Appy
226,Kuala Terengganu,MY,75.15,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
227,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
228,Samarai,PG,84.07,overcast clouds,-10.6167,150.6667,Nuli Sapi
243,Anloga,GH,82.62,broken clouds,5.7947,0.8973,Pin Drop Hotel
247,Meulaboh,ID,78.12,broken clouds,4.1363,96.1285,Kost Pria
249,Mahebourg,MU,77.29,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
251,Mount Gambier,AU,75.11,scattered clouds,-37.8333,140.7667,The Commodore
256,Kirakira,SB,80.13,overcast clouds,-10.4544,161.9205,SanBiz Lodge
257,Mount Isa,AU,82.17,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
258,Waihi Beach,NZ,77.11,overcast clouds,-37.4,175.9333,Brass Bell Bed & Breakfast
262,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
264,Manokwari,ID,84.11,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
268,Manzanillo,CU,78.37,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
272,Port Blair,IN,79.18,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
282,Richards Bay,ZA,77.23,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
288,Maumere,ID,83.28,overcast clouds,-8.6199,122.2111,Sylvia Hotel
292,Moindou,NC,87.75,scattered clouds,-21.6924,165.677,Equi-lodge de Moindou
293,Vanimo,PG,87.76,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
298,Biak,ID,80.94,light rain,-0.9131,122.8766,Penginapan Kim
301,Harper,LR,79.75,light rain,4.375,-7.7169,Screensaver
