City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nikolskoye,RU,2021-11-28 22:09:47,59.7035,30.7861,22.89,93,91,5.97
1,Saky,UA,2021-11-28 22:09:48,45.1356,33.6031,54.54,92,64,16.37
2,Victoria,HK,2021-11-28 22:05:15,22.2855,114.1577,67.98,64,26,6.4
3,Tiksi,RU,2021-11-28 22:09:49,71.6872,128.8694,-14.3,99,99,6.49
4,Porosozero,RU,2021-11-28 22:09:49,62.7191,32.727,11.82,92,100,5.5
5,Ormara,PK,2021-11-28 22:09:49,25.2088,64.6357,75.74,48,0,6.67
6,Rikitea,PF,2021-11-28 22:09:50,-23.1203,-134.9692,77.07,73,9,16.75
7,Hermanus,ZA,2021-11-28 22:06:14,-34.4187,19.2345,63.07,85,81,7.49
8,Ishigaki,JP,2021-11-28 22:09:51,24.3448,124.1572,71.44,85,100,29.06
9,Airai,TL,2021-11-28 22:09:51,-8.9266,125.4092,62.37,85,100,1.3
10,Khatanga,RU,2021-11-28 22:09:52,71.9667,102.5,-8.05,98,100,9.31
11,Neuquen,AR,2021-11-28 22:08:34,-38.9516,-68.0591,82.65,14,10,9.01
12,Sorland,NO,2021-11-28 22:09:52,67.667,12.6934,31.86,59,100,13.96
13,Okakarara,NA,2021-11-28 22:09:53,-20.5833,17.4333,76.03,29,97,2.21
14,Ancud,CL,2021-11-28 22:05:14,-41.8697,-73.8203,58.53,72,69,8.97
15,Bethel,US,2021-11-28 22:06:14,41.3712,-73.414,37.98,75,90,0.0
16,Taoudenni,ML,2021-11-28 22:09:54,22.6783,-3.9836,67.66,22,2,10.0
17,Avera,US,2021-11-28 22:09:54,33.194,-82.5271,57.07,39,89,8.05
18,Bredasdorp,ZA,2021-11-28 22:09:54,-34.5322,20.0403,62.4,82,34,4.74
19,Naples,IT,2021-11-28 22:09:55,40.8333,14.25,48.81,81,40,2.3
20,Mantua,IT,2021-11-28 22:07:48,45.1667,10.7833,39.81,83,95,6.67
21,Bucak,TR,2021-11-28 22:09:56,37.4592,30.595,55.44,97,99,4.79
22,Punta Arenas,CL,2021-11-28 22:09:56,-53.15,-70.9167,44.71,81,75,21.85
23,Hilo,US,2021-11-28 22:09:57,19.7297,-155.09,78.53,65,90,10.36
